REFERENCE	 DEGRADED	 PESQMOS	 SAMPLE_FREQ
 g729char\exp3\original\a\a_f01s16.src	 g729char\exp1\coded\a\ae1f6816.out	3.353	16000
 g729char\exp3\original\a\a_f02s16.src	 g729char\exp1\coded\a\ae1f9416.out	3.529	16000
 g729char\exp3\original\a\a_m01s16.src	 g729char\exp1\coded\a\ae1m1016.out	3.759	16000
 g729char\exp3\original\a\a_m02s16.src	 g729char\exp1\coded\a\ae1m3c16.out	4.011	16000
 g729char\exp3\original\a\a_f01s17.src	 g729char\exp1\coded\a\ae1f6917.out	3.456	16000
 g729char\exp3\original\a\a_f02s17.src	 g729char\exp1\coded\a\ae1f9517.out	3.455	16000
 g729char\exp3\original\a\a_m01s17.src	 g729char\exp1\coded\a\ae1m1117.out	3.521	16000
 g729char\exp3\original\a\a_m02s17.src	 g729char\exp1\coded\a\ae1m3d17.out	3.601	16000
 g729char\exp3\original\a\a_f01s18.src	 g729char\exp1\coded\a\ae1f6a18.out	3.153	16000
 g729char\exp3\original\a\a_f02s18.src	 g729char\exp1\coded\a\ae1f9618.out	3.259	16000
 g729char\exp3\original\a\a_m01s18.src	 g729char\exp1\coded\a\ae1m1218.out	3.581	16000
 g729char\exp3\original\a\a_m02s18.src	 g729char\exp1\coded\a\ae1m3e18.out	3.598	16000
 g729char\exp3\original\a\a_f01s19.src	 g729char\exp1\coded\a\ae1f6b19.out	3.018	16000
 g729char\exp3\original\a\a_f02s19.src	 g729char\exp1\coded\a\ae1f9719.out	3.088	16000
 g729char\exp3\original\a\a_m01s19.src	 g729char\exp1\coded\a\ae1m1319.out	3.428	16000
 g729char\exp3\original\a\a_m02s19.src	 g729char\exp1\coded\a\ae1m3f19.out	3.512	16000
 g729char\exp3\original\a\a_f01s20.src	 g729char\exp1\coded\a\ae1f6c20.out	2.85	16000
 g729char\exp3\original\a\a_f02s20.src	 g729char\exp1\coded\a\ae1f9820.out	2.962	16000
 g729char\exp3\original\a\a_m01s20.src	 g729char\exp1\coded\a\ae1m1420.out	3.004	16000
 g729char\exp3\original\a\a_m02s20.src	 g729char\exp1\coded\a\ae1m4020.out	3.252	16000
 g729char\exp3\original\a\a_f01s21.src	 g729char\exp1\coded\a\ae1f6d21.out	2.746	16000
 g729char\exp3\original\a\a_f02s21.src	 g729char\exp1\coded\a\ae1f9921.out	2.996	16000
 g729char\exp3\original\a\a_m01s21.src	 g729char\exp1\coded\a\ae1m1521.out	3.188	16000
 g729char\exp3\original\a\a_m02s21.src	 g729char\exp1\coded\a\ae1m4121.out	3.292	16000
 g729char\exp3\original\a\a_f01s22.src	 g729char\exp1\coded\a\ae1f6e22.out	2.625	16000
 g729char\exp3\original\a\a_f02s22.src	 g729char\exp1\coded\a\ae1f9a22.out	3.012	16000
 g729char\exp3\original\a\a_m01s22.src	 g729char\exp1\coded\a\ae1m1622.out	2.978	16000
 g729char\exp3\original\a\a_m02s22.src	 g729char\exp1\coded\a\ae1m4222.out	3.37	16000
 g729char\exp3\original\a\a_f01s23.src	 g729char\exp1\coded\a\ae1f6f23.out	2.63	16000
 g729char\exp3\original\a\a_f02s23.src	 g729char\exp1\coded\a\ae1f9b23.out	2.943	16000
 g729char\exp3\original\a\a_m01s23.src	 g729char\exp1\coded\a\ae1m1723.out	2.871	16000
 g729char\exp3\original\a\a_m02s23.src	 g729char\exp1\coded\a\ae1m4323.out	3.045	16000
 g729char\exp3\original\a\a_f01s24.src	 g729char\exp1\coded\a\ae1f7024.out	2.902	16000
 g729char\exp3\original\a\a_f02s24.src	 g729char\exp1\coded\a\ae1f9c24.out	2.839	16000
 g729char\exp3\original\a\a_m01s24.src	 g729char\exp1\coded\a\ae1m1824.out	3.302	16000
 g729char\exp3\original\a\a_m02s24.src	 g729char\exp1\coded\a\ae1m4424.out	3.425	16000
 g729char\exp3\original\a\a_f01s25.src	 g729char\exp1\coded\a\ae1f7125.out	2.805	16000
 g729char\exp3\original\a\a_f02s25.src	 g729char\exp1\coded\a\ae1f9d25.out	2.812	16000
 g729char\exp3\original\a\a_m01s25.src	 g729char\exp1\coded\a\ae1m1925.out	3.24	16000
 g729char\exp3\original\a\a_m02s25.src	 g729char\exp1\coded\a\ae1m4525.out	3.347	16000
 g729char\exp3\original\a\a_f01s26.src	 g729char\exp1\coded\a\ae1f7226.out	2.878	16000
 g729char\exp3\original\a\a_f02s26.src	 g729char\exp1\coded\a\ae1f9e26.out	3.085	16000
 g729char\exp3\original\a\a_m01s26.src	 g729char\exp1\coded\a\ae1m1a26.out	3.165	16000
 g729char\exp3\original\a\a_m02s26.src	 g729char\exp1\coded\a\ae1m4626.out	3.369	16000
 g729char\exp3\original\a\a_f01s27.src	 g729char\exp1\coded\a\ae1f7327.out	3.023	16000
 g729char\exp3\original\a\a_f02s27.src	 g729char\exp1\coded\a\ae1f9f27.out	3.086	16000
 g729char\exp3\original\a\a_m01s27.src	 g729char\exp1\coded\a\ae1m1b27.out	3.186	16000
 g729char\exp3\original\a\a_m02s27.src	 g729char\exp1\coded\a\ae1m4727.out	3.158	16000
 g729char\exp3\original\a\a_f01s28.src	 g729char\exp1\coded\a\ae1f7428.out	2.693	16000
 g729char\exp3\original\a\a_f02s28.src	 g729char\exp1\coded\a\ae1fa028.out	2.749	16000
 g729char\exp3\original\a\a_m01s28.src	 g729char\exp1\coded\a\ae1m1c28.out	2.92	16000
 g729char\exp3\original\a\a_m02s28.src	 g729char\exp1\coded\a\ae1m4828.out	3.196	16000
 g729char\exp3\original\a\a_f01s29.src	 g729char\exp1\coded\a\ae1f7529.out	3.037	16000
 g729char\exp3\original\a\a_f02s29.src	 g729char\exp1\coded\a\ae1fa129.out	3.226	16000
 g729char\exp3\original\a\a_m01s29.src	 g729char\exp1\coded\a\ae1m1d29.out	3.426	16000
 g729char\exp3\original\a\a_m02s29.src	 g729char\exp1\coded\a\ae1m4929.out	3.576	16000
 g729char\exp3\original\a\a_f01s30.src	 g729char\exp1\coded\a\ae1f7630.out	3.113	16000
 g729char\exp3\original\a\a_f02s30.src	 g729char\exp1\coded\a\ae1fa230.out	3.224	16000
 g729char\exp3\original\a\a_m01s30.src	 g729char\exp1\coded\a\ae1m1e30.out	3.184	16000
 g729char\exp3\original\a\a_m02s30.src	 g729char\exp1\coded\a\ae1m4a30.out	3.411	16000
 g729char\exp3\original\a\a_f01s31.src	 g729char\exp1\coded\a\ae1f7731.out	3.015	16000
 g729char\exp3\original\a\a_f02s31.src	 g729char\exp1\coded\a\ae1fa331.out	3.172	16000
 g729char\exp3\original\a\a_m01s31.src	 g729char\exp1\coded\a\ae1m1f31.out	3.426	16000
 g729char\exp3\original\a\a_m02s31.src	 g729char\exp1\coded\a\ae1m4b31.out	3.567	16000
 g729char\exp3\original\a\a_f01s32.src	 g729char\exp1\coded\a\ae1f7832.out	2.759	16000
 g729char\exp3\original\a\a_f02s32.src	 g729char\exp1\coded\a\ae1fa432.out	2.837	16000
 g729char\exp3\original\a\a_m01s32.src	 g729char\exp1\coded\a\ae1m2032.out	3.27	16000
 g729char\exp3\original\a\a_m02s32.src	 g729char\exp1\coded\a\ae1m4c32.out	3.287	16000
 g729char\exp3\original\a\a_f01s33.src	 g729char\exp1\coded\a\ae1f7933.out	2.736	16000
 g729char\exp3\original\a\a_f02s33.src	 g729char\exp1\coded\a\ae1fa533.out	2.957	16000
 g729char\exp3\original\a\a_m01s33.src	 g729char\exp1\coded\a\ae1m2133.out	3.151	16000
 g729char\exp3\original\a\a_m02s33.src	 g729char\exp1\coded\a\ae1m4d33.out	3.362	16000
 g729char\exp3\original\a\a_f01s34.src	 g729char\exp1\coded\a\ae1f7a34.out	2.845	16000
 g729char\exp3\original\a\a_f02s34.src	 g729char\exp1\coded\a\ae1fa634.out	2.914	16000
 g729char\exp3\original\a\a_m01s34.src	 g729char\exp1\coded\a\ae1m2234.out	3.187	16000
 g729char\exp3\original\a\a_m02s34.src	 g729char\exp1\coded\a\ae1m4e34.out	3.353	16000
 g729char\exp3\original\a\a_f01s35.src	 g729char\exp1\coded\a\ae1f7b35.out	2.843	16000
 g729char\exp3\original\a\a_f02s35.src	 g729char\exp1\coded\a\ae1fa735.out	2.91	16000
 g729char\exp3\original\a\a_m01s35.src	 g729char\exp1\coded\a\ae1m2335.out	2.954	16000
 g729char\exp3\original\a\a_m02s35.src	 g729char\exp1\coded\a\ae1m4f35.out	3.202	16000
 g729char\exp3\original\a\a_f01s36.src	 g729char\exp1\coded\a\ae1f7c36.out	2.727	16000
 g729char\exp3\original\a\a_f02s36.src	 g729char\exp1\coded\a\ae1fa836.out	2.778	16000
 g729char\exp3\original\a\a_m01s36.src	 g729char\exp1\coded\a\ae1m2436.out	2.961	16000
 g729char\exp3\original\a\a_m02s36.src	 g729char\exp1\coded\a\ae1m5036.out	3.277	16000
 g729char\exp3\original\a\a_f01s37.src	 g729char\exp1\coded\a\ae1f7d37.out	1.8	16000
 g729char\exp3\original\a\a_f02s37.src	 g729char\exp1\coded\a\ae1fa937.out	1.597	16000
 g729char\exp3\original\a\a_m01s37.src	 g729char\exp1\coded\a\ae1m2537.out	2.555	16000
 g729char\exp3\original\a\a_m02s37.src	 g729char\exp1\coded\a\ae1m5137.out	2.542	16000
 g729char\exp3\original\a\a_f01s38.src	 g729char\exp1\coded\a\ae1f7e38.out	2.088	16000
 g729char\exp3\original\a\a_f02s38.src	 g729char\exp1\coded\a\ae1faa38.out	2.68	16000
 g729char\exp3\original\a\a_m01s38.src	 g729char\exp1\coded\a\ae1m2638.out	3.051	16000
 g729char\exp3\original\a\a_m02s38.src	 g729char\exp1\coded\a\ae1m5238.out	2.882	16000
 g729char\exp3\original\a\a_f01s39.src	 g729char\exp1\coded\a\ae1f7f39.out	2.644	16000
 g729char\exp3\original\a\a_f02s39.src	 g729char\exp1\coded\a\ae1fab39.out	2.918	16000
 g729char\exp3\original\a\a_m01s39.src	 g729char\exp1\coded\a\ae1m2739.out	3.385	16000
 g729char\exp3\original\a\a_m02s39.src	 g729char\exp1\coded\a\ae1m5339.out	3.404	16000
 g729char\exp3\original\a\a_f01s40.src	 g729char\exp1\coded\a\ae1f8040.out	3.278	16000
 g729char\exp3\original\a\a_f02s40.src	 g729char\exp1\coded\a\ae1fac40.out	3.22	16000
 g729char\exp3\original\a\a_m01s40.src	 g729char\exp1\coded\a\ae1m2840.out	3.77	16000
 g729char\exp3\original\a\a_m02s40.src	 g729char\exp1\coded\a\ae1m5440.out	3.762	16000
 g729char\exp3\original\a\a_f01s41.src	 g729char\exp1\coded\a\ae1f8141.out	3.48	16000
 g729char\exp3\original\a\a_f02s41.src	 g729char\exp1\coded\a\ae1fad41.out	3.605	16000
 g729char\exp3\original\a\a_m01s41.src	 g729char\exp1\coded\a\ae1m2941.out	3.833	16000
 g729char\exp3\original\a\a_m02s41.src	 g729char\exp1\coded\a\ae1m5541.out	4.057	16000
 g729char\exp3\original\a\a_f01s42.src	 g729char\exp1\coded\a\ae1f8242.out	3.67	16000
 g729char\exp3\original\a\a_f02s42.src	 g729char\exp1\coded\a\ae1fae42.out	3.939	16000
 g729char\exp3\original\a\a_m01s42.src	 g729char\exp1\coded\a\ae1m2a42.out	4.184	16000
 g729char\exp3\original\a\a_m02s42.src	 g729char\exp1\coded\a\ae1m5642.out	4.324	16000
 g729char\exp3\original\a\a_f01s43.src	 g729char\exp1\coded\a\ae1f8343.out	3.947	16000
 g729char\exp3\original\a\a_f02s43.src	 g729char\exp1\coded\a\ae1faf43.out	4.271	16000
 g729char\exp3\original\a\a_m01s43.src	 g729char\exp1\coded\a\ae1m2b43.out	4.29	16000
 g729char\exp3\original\a\a_m02s43.src	 g729char\exp1\coded\a\ae1m5743.out	4.317	16000
 g729char\exp3\original\a\a_f01s44.src	 g729char\exp1\coded\a\ae1f8444.out	4.33	16000
 g729char\exp3\original\a\a_f02s44.src	 g729char\exp1\coded\a\ae1fb044.out	4.321	16000
 g729char\exp3\original\a\a_m01s44.src	 g729char\exp1\coded\a\ae1m2c44.out	4.355	16000
 g729char\exp3\original\a\a_m02s44.src	 g729char\exp1\coded\a\ae1m5844.out	4.338	16000
 g729char\exp1\original\d\d_f01s01.src	 g729char\exp1\coded\d\de1f5901.out	3.419	16000
 g729char\exp1\original\d\d_f02s01.src	 g729char\exp1\coded\d\de1f8501.out	3.413	16000
 g729char\exp1\original\d\d_m01s01.src	 g729char\exp1\coded\d\de1m0101.out	3.809	16000
 g729char\exp1\original\d\d_m02s01.src	 g729char\exp1\coded\d\de1m2d01.out	3.845	16000
 g729char\exp1\original\d\d_f01s02.src	 g729char\exp1\coded\d\de1f5a02.out	3.308	16000
 g729char\exp1\original\d\d_f02s02.src	 g729char\exp1\coded\d\de1f8602.out	2.906	16000
 g729char\exp1\original\d\d_m01s02.src	 g729char\exp1\coded\d\de1m0202.out	3.444	16000
 g729char\exp1\original\d\d_m02s02.src	 g729char\exp1\coded\d\de1m2e02.out	3.507	16000
 g729char\exp1\original\d\d_f01s03.src	 g729char\exp1\coded\d\de1f5b03.out	2.964	16000
 g729char\exp1\original\d\d_f02s03.src	 g729char\exp1\coded\d\de1f8703.out	2.803	16000
 g729char\exp1\original\d\d_m01s03.src	 g729char\exp1\coded\d\de1m0303.out	3.059	16000
 g729char\exp1\original\d\d_m02s03.src	 g729char\exp1\coded\d\de1m2f03.out	2.989	16000
 g729char\exp1\original\d\d_f01s04.src	 g729char\exp1\coded\d\de1f5c04.out	3.836	16000
 g729char\exp1\original\d\d_f02s04.src	 g729char\exp1\coded\d\de1f8804.out	3.902	16000
 g729char\exp1\original\d\d_m01s04.src	 g729char\exp1\coded\d\de1m0404.out	4.163	16000
 g729char\exp1\original\d\d_m02s04.src	 g729char\exp1\coded\d\de1m3004.out	3.877	16000
 g729char\exp1\original\d\d_f01s05.src	 g729char\exp1\coded\d\de1f5d05.out	3.245	16000
 g729char\exp1\original\d\d_f02s05.src	 g729char\exp1\coded\d\de1f8905.out	3.26	16000
 g729char\exp1\original\d\d_m01s05.src	 g729char\exp1\coded\d\de1m0505.out	3.576	16000
 g729char\exp1\original\d\d_m02s05.src	 g729char\exp1\coded\d\de1m3105.out	3.304	16000
 g729char\exp1\original\d\d_f01s06.src	 g729char\exp1\coded\d\de1f5e06.out	3.507	16000
 g729char\exp1\original\d\d_f02s06.src	 g729char\exp1\coded\d\de1f8a06.out	3.432	16000
 g729char\exp1\original\d\d_m01s06.src	 g729char\exp1\coded\d\de1m0606.out	3.786	16000
 g729char\exp1\original\d\d_m02s06.src	 g729char\exp1\coded\d\de1m3206.out	3.685	16000
 g729char\exp1\original\d\d_f01s07.src	 g729char\exp1\coded\d\de1f5f07.out	4.29	16000
 g729char\exp1\original\d\d_f02s07.src	 g729char\exp1\coded\d\de1f8b07.out	4.393	16000
 g729char\exp1\original\d\d_m01s07.src	 g729char\exp1\coded\d\de1m0707.out	4.256	16000
 g729char\exp1\original\d\d_m02s07.src	 g729char\exp1\coded\d\de1m3307.out	4.337	16000
 g729char\exp1\original\d\d_f01s08.src	 g729char\exp1\coded\d\de1f6008.out	3.256	16000
 g729char\exp1\original\d\d_f02s08.src	 g729char\exp1\coded\d\de1f8c08.out	3.083	16000
 g729char\exp1\original\d\d_m01s08.src	 g729char\exp1\coded\d\de1m0808.out	3.88	16000
 g729char\exp1\original\d\d_m02s08.src	 g729char\exp1\coded\d\de1m3408.out	3.809	16000
 g729char\exp1\original\d\d_f01s09.src	 g729char\exp1\coded\d\de1f6109.out	3.277	16000
 g729char\exp1\original\d\d_f02s09.src	 g729char\exp1\coded\d\de1f8d09.out	2.992	16000
 g729char\exp1\original\d\d_m01s09.src	 g729char\exp1\coded\d\de1m0909.out	3.638	16000
 g729char\exp1\original\d\d_m02s09.src	 g729char\exp1\coded\d\de1m3509.out	3.659	16000
 g729char\exp1\original\d\d_f01s10.src	 g729char\exp1\coded\d\de1f6210.out	2.859	16000
 g729char\exp1\original\d\d_f02s10.src	 g729char\exp1\coded\d\de1f8e10.out	2.845	16000
