REFERENCE	 DEGRADED	 PESQMOS	 SAMPLE_FREQ
 g729char\exp1\original\d\d_m02s23.src	 g729char\exp1\coded\d\de1m4323.out	2.745	16000
 g729char\exp1\original\d\d_f01s24.src	 g729char\exp1\coded\d\de1f7024.out	2.88	16000
 g729char\exp1\original\d\d_f02s24.src	 g729char\exp1\coded\d\de1f9c24.out	2.793	16000
 g729char\exp1\original\d\d_m01s24.src	 g729char\exp1\coded\d\de1m1824.out	3.411	16000
 g729char\exp1\original\d\d_m02s24.src	 g729char\exp1\coded\d\de1m4424.out	3.321	16000
 g729char\exp1\original\d\d_f01s25.src	 g729char\exp1\coded\d\de1f7125.out	2.905	16000
 g729char\exp1\original\d\d_f02s25.src	 g729char\exp1\coded\d\de1f9d25.out	2.577	16000
 g729char\exp1\original\d\d_m01s25.src	 g729char\exp1\coded\d\de1m1925.out	3.339	16000
 g729char\exp1\original\d\d_m02s25.src	 g729char\exp1\coded\d\de1m4525.out	3.227	16000
 g729char\exp1\original\d\d_f01s26.src	 g729char\exp1\coded\d\de1f7226.out	2.982	16000
 g729char\exp1\original\d\d_f02s26.src	 g729char\exp1\coded\d\de1f9e26.out	2.924	16000
 g729char\exp1\original\d\d_m01s26.src	 g729char\exp1\coded\d\de1m1a26.out	3.236	16000
 g729char\exp1\original\d\d_m02s26.src	 g729char\exp1\coded\d\de1m4626.out	3.136	16000
 g729char\exp1\original\d\d_f01s27.src	 g729char\exp1\coded\d\de1f7327.out	2.718	16000
 g729char\exp1\original\d\d_f02s27.src	 g729char\exp1\coded\d\de1f9f27.out	2.733	16000
 g729char\exp1\original\d\d_m01s27.src	 g729char\exp1\coded\d\de1m1b27.out	3.114	16000
 g729char\exp1\original\d\d_m02s27.src	 g729char\exp1\coded\d\de1m4727.out	2.979	16000
 g729char\exp1\original\d\d_f01s28.src	 g729char\exp1\coded\d\de1f7428.out	2.864	16000
 g729char\exp1\original\d\d_f02s28.src	 g729char\exp1\coded\d\de1fa028.out	2.548	16000
 g729char\exp1\original\d\d_m01s28.src	 g729char\exp1\coded\d\de1m1c28.out	2.62	16000
 g729char\exp1\original\d\d_m02s28.src	 g729char\exp1\coded\d\de1m4828.out	2.62	16000
 g729char\exp1\original\d\d_f01s29.src	 g729char\exp1\coded\d\de1f7529.out	3.308	16000
 g729char\exp1\original\d\d_f02s29.src	 g729char\exp1\coded\d\de1fa129.out	3.11	16000
 g729char\exp1\original\d\d_m01s29.src	 g729char\exp1\coded\d\de1m1d29.out	3.453	16000
 g729char\exp1\original\d\d_m02s29.src	 g729char\exp1\coded\d\de1m4929.out	3.484	16000
 g729char\exp1\original\d\d_f01s30.src	 g729char\exp1\coded\d\de1f7630.out	3.054	16000
 g729char\exp1\original\d\d_f02s30.src	 g729char\exp1\coded\d\de1fa230.out	2.955	16000
 g729char\exp1\original\d\d_m01s30.src	 g729char\exp1\coded\d\de1m1e30.out	3.327	16000
 g729char\exp1\original\d\d_m02s30.src	 g729char\exp1\coded\d\de1m4a30.out	3.302	16000
 g729char\exp1\original\d\d_f01s31.src	 g729char\exp1\coded\d\de1f7731.out	2.945	16000
 g729char\exp1\original\d\d_f02s31.src	 g729char\exp1\coded\d\de1fa331.out	2.721	16000
 g729char\exp1\original\d\d_m01s31.src	 g729char\exp1\coded\d\de1m1f31.out	3.271	16000
 g729char\exp1\original\d\d_m02s31.src	 g729char\exp1\coded\d\de1m4b31.out	3.294	16000
 g729char\exp1\original\d\d_f01s32.src	 g729char\exp1\coded\d\de1f7832.out	2.598	16000
 g729char\exp1\original\d\d_f02s32.src	 g729char\exp1\coded\d\de1fa432.out	2.587	16000
 g729char\exp1\original\d\d_m01s32.src	 g729char\exp1\coded\d\de1m2032.out	2.995	16000
 g729char\exp1\original\d\d_m02s32.src	 g729char\exp1\coded\d\de1m4c32.out	2.905	16000
 g729char\exp1\original\d\d_f01s33.src	 g729char\exp1\coded\d\de1f7933.out	2.807	16000
 g729char\exp1\original\d\d_f02s33.src	 g729char\exp1\coded\d\de1fa533.out	2.515	16000
 g729char\exp1\original\d\d_m01s33.src	 g729char\exp1\coded\d\de1m2133.out	3.064	16000
 g729char\exp1\original\d\d_m02s33.src	 g729char\exp1\coded\d\de1m4d33.out	2.964	16000
 g729char\exp1\original\d\d_f01s34.src	 g729char\exp1\coded\d\de1f7a34.out	2.739	16000
 g729char\exp1\original\d\d_f02s34.src	 g729char\exp1\coded\d\de1fa634.out	2.679	16000
 g729char\exp1\original\d\d_m01s34.src	 g729char\exp1\coded\d\de1m2234.out	3.152	16000
 g729char\exp1\original\d\d_m02s34.src	 g729char\exp1\coded\d\de1m4e34.out	3.122	16000
 g729char\exp1\original\d\d_f01s35.src	 g729char\exp1\coded\d\de1f7b35.out	2.771	16000
 g729char\exp1\original\d\d_f02s35.src	 g729char\exp1\coded\d\de1fa735.out	2.408	16000
 g729char\exp1\original\d\d_m01s35.src	 g729char\exp1\coded\d\de1m2335.out	2.456	16000
 g729char\exp1\original\d\d_m02s35.src	 g729char\exp1\coded\d\de1m4f35.out	2.603	16000
 g729char\exp1\original\d\d_f01s36.src	 g729char\exp1\coded\d\de1f7c36.out	2.748	16000
 g729char\exp1\original\d\d_f02s36.src	 g729char\exp1\coded\d\de1fa836.out	2.655	16000
 g729char\exp1\original\d\d_m01s36.src	 g729char\exp1\coded\d\de1m2436.out	2.69	16000
 g729char\exp1\original\d\d_m02s36.src	 g729char\exp1\coded\d\de1m5036.out	2.611	16000
 g729char\exp1\original\d\d_f01s37.src	 g729char\exp1\coded\d\de1f7d37.out	1.558	16000
 g729char\exp1\original\d\d_f02s37.src	 g729char\exp1\coded\d\de1fa937.out	1.859	16000
 g729char\exp1\original\d\d_m01s37.src	 g729char\exp1\coded\d\de1m2537.out	2.189	16000
 g729char\exp1\original\d\d_m02s37.src	 g729char\exp1\coded\d\de1m5137.out	2.352	16000
 g729char\exp1\original\d\d_f01s38.src	 g729char\exp1\coded\d\de1f7e38.out	2.262	16000
 g729char\exp1\original\d\d_f02s38.src	 g729char\exp1\coded\d\de1faa38.out	2.277	16000
 g729char\exp1\original\d\d_m01s38.src	 g729char\exp1\coded\d\de1m2638.out	3.066	16000
 g729char\exp1\original\d\d_m02s38.src	 g729char\exp1\coded\d\de1m5238.out	2.641	16000
 g729char\exp1\original\d\d_f01s39.src	 g729char\exp1\coded\d\de1f7f39.out	2.733	16000
 g729char\exp1\original\d\d_f02s39.src	 g729char\exp1\coded\d\de1fab39.out	2.759	16000
 g729char\exp1\original\d\d_m01s39.src	 g729char\exp1\coded\d\de1m2739.out	3.522	16000
 g729char\exp1\original\d\d_m02s39.src	 g729char\exp1\coded\d\de1m5339.out	3.464	16000
 g729char\exp1\original\d\d_f01s40.src	 g729char\exp1\coded\d\de1f8040.out	3.236	16000
 g729char\exp1\original\d\d_f02s40.src	 g729char\exp1\coded\d\de1fac40.out	3.312	16000
 g729char\exp1\original\d\d_m01s40.src	 g729char\exp1\coded\d\de1m2840.out	3.956	16000
 g729char\exp1\original\d\d_m02s40.src	 g729char\exp1\coded\d\de1m5440.out	3.749	16000
 g729char\exp1\original\d\d_f01s41.src	 g729char\exp1\coded\d\de1f8141.out	3.666	16000
 g729char\exp1\original\d\d_f02s41.src	 g729char\exp1\coded\d\de1fad41.out	3.664	16000
 g729char\exp1\original\d\d_m01s41.src	 g729char\exp1\coded\d\de1m2941.out	4.221	16000
 g729char\exp1\original\d\d_m02s41.src	 g729char\exp1\coded\d\de1m5541.out	4.167	16000
 g729char\exp1\original\d\d_f01s42.src	 g729char\exp1\coded\d\de1f8242.out	3.934	16000
 g729char\exp1\original\d\d_f02s42.src	 g729char\exp1\coded\d\de1fae42.out	4.187	16000
 g729char\exp1\original\d\d_m01s42.src	 g729char\exp1\coded\d\de1m2a42.out	4.341	16000
 g729char\exp1\original\d\d_m02s42.src	 g729char\exp1\coded\d\de1m5642.out	4.274	16000
 g729char\exp1\original\d\d_f01s43.src	 g729char\exp1\coded\d\de1f8343.out	4.253	16000
 g729char\exp1\original\d\d_f02s43.src	 g729char\exp1\coded\d\de1faf43.out	4.295	16000
 g729char\exp1\original\d\d_m01s43.src	 g729char\exp1\coded\d\de1m2b43.out	4.385	16000
 g729char\exp1\original\d\d_m02s43.src	 g729char\exp1\coded\d\de1m5743.out	4.374	16000
 g729char\exp1\original\d\d_f01s44.src	 g729char\exp1\coded\d\de1f8444.out	4.417	16000
 g729char\exp1\original\d\d_f02s44.src	 g729char\exp1\coded\d\de1fb044.out	4.436	16000
 g729char\exp1\original\d\d_m01s44.src	 g729char\exp1\coded\d\de1m2c44.out	4.292	16000
 g729char\exp1\original\d\d_m02s44.src	 g729char\exp1\coded\d\de1m5844.out	4.361	16000
 g729char\exp1\original\o\o_f01s01.src	 g729char\exp1\coded\o\oe1f5901.out	3.503	16000
 g729char\exp1\original\o\o_f02s01.src	 g729char\exp1\coded\o\oe1f8501.out	3.23	16000
 g729char\exp1\original\o\o_m01s01.src	 g729char\exp1\coded\o\oe1m0101.out	3.643	16000
 g729char\exp1\original\o\o_m02s01.src	 g729char\exp1\coded\o\oe1m2d01.out	3.226	16000
 g729char\exp1\original\o\o_f01s02.src	 g729char\exp1\coded\o\oe1f5a02.out	3.084	16000
 g729char\exp1\original\o\o_f02s02.src	 g729char\exp1\coded\o\oe1f8602.out	2.901	16000
 g729char\exp1\original\o\o_m01s02.src	 g729char\exp1\coded\o\oe1m0202.out	3.049	16000
 g729char\exp1\original\o\o_m02s02.src	 g729char\exp1\coded\o\oe1m2e02.out	3.233	16000
 g729char\exp1\original\o\o_f01s03.src	 g729char\exp1\coded\o\oe1f5b03.out	2.848	16000
 g729char\exp1\original\o\o_f02s03.src	 g729char\exp1\coded\o\oe1f8703.out	2.555	16000
 g729char\exp1\original\o\o_m01s03.src	 g729char\exp1\coded\o\oe1m0303.out	2.487	16000
 g729char\exp1\original\o\o_m02s03.src	 g729char\exp1\coded\o\oe1m2f03.out	2.969	16000
 g729char\exp1\original\o\o_f01s04.src	 g729char\exp1\coded\o\oe1f5c04.out	3.766	16000
 g729char\exp1\original\o\o_f02s04.src	 g729char\exp1\coded\o\oe1f8804.out	3.634	16000
 g729char\exp1\original\o\o_m01s04.src	 g729char\exp1\coded\o\oe1m0404.out	3.936	16000
 g729char\exp1\original\o\o_m02s04.src	 g729char\exp1\coded\o\oe1m3004.out	3.89	16000
 g729char\exp1\original\o\o_f01s05.src	 g729char\exp1\coded\o\oe1f5d05.out	3.071	16000
 g729char\exp1\original\o\o_f02s05.src	 g729char\exp1\coded\o\oe1f8905.out	3.376	16000
 g729char\exp1\original\o\o_m01s05.src	 g729char\exp1\coded\o\oe1m0505.out	3.466	16000
 g729char\exp1\original\o\o_m02s05.src	 g729char\exp1\coded\o\oe1m3105.out	3.262	16000
 g729char\exp1\original\o\o_f01s06.src	 g729char\exp1\coded\o\oe1f5e06.out	3.487	16000
 g729char\exp1\original\o\o_f02s06.src	 g729char\exp1\coded\o\oe1f8a06.out	3.547	16000
 g729char\exp1\original\o\o_m01s06.src	 g729char\exp1\coded\o\oe1m0606.out	3.551	16000
 g729char\exp1\original\o\o_m02s06.src	 g729char\exp1\coded\o\oe1m3206.out	3.575	16000
 g729char\exp1\original\o\o_f01s07.src	 g729char\exp1\coded\o\oe1f5f07.out	4.363	16000
 g729char\exp1\original\o\o_f02s07.src	 g729char\exp1\coded\o\oe1f8b07.out	4.263	16000
 g729char\exp1\original\o\o_m01s07.src	 g729char\exp1\coded\o\oe1m0707.out	4.274	16000
 g729char\exp1\original\o\o_m02s07.src	 g729char\exp1\coded\o\oe1m3307.out	4.203	16000
 g729char\exp1\original\o\o_f01s08.src	 g729char\exp1\coded\o\oe1f6008.out	3.273	16000
 g729char\exp1\original\o\o_f02s08.src	 g729char\exp1\coded\o\oe1f8c08.out	3.33	16000
 g729char\exp1\original\o\o_m01s08.src	 g729char\exp1\coded\o\oe1m0808.out	3.562	16000
 g729char\exp1\original\o\o_m02s08.src	 g729char\exp1\coded\o\oe1m3408.out	3.521	16000
 g729char\exp1\original\o\o_f01s09.src	 g729char\exp1\coded\o\oe1f6109.out	3.295	16000
 g729char\exp1\original\o\o_f02s09.src	 g729char\exp1\coded\o\oe1f8d09.out	3.37	16000
 g729char\exp1\original\o\o_m01s09.src	 g729char\exp1\coded\o\oe1m0909.out	3.442	16000
 g729char\exp1\original\o\o_m02s09.src	 g729char\exp1\coded\o\oe1m3509.out	3.574	16000
 g729char\exp1\original\o\o_f01s10.src	 g729char\exp1\coded\o\oe1f6210.out	2.908	16000
 g729char\exp1\original\o\o_f02s10.src	 g729char\exp1\coded\o\oe1f8e10.out	2.733	16000
 g729char\exp1\original\o\o_m01s10.src	 g729char\exp1\coded\o\oe1m0a10.out	2.78	16000
 g729char\exp1\original\o\o_m02s10.src	 g729char\exp1\coded\o\oe1m3610.out	3.056	16000
 g729char\exp1\original\o\o_f01s11.src	 g729char\exp1\coded\o\oe1f6311.out	3.172	16000
 g729char\exp1\original\o\o_f02s11.src	 g729char\exp1\coded\o\oe1f8f11.out	3.274	16000
 g729char\exp1\original\o\o_m01s11.src	 g729char\exp1\coded\o\oe1m0b11.out	3.315	16000
 g729char\exp1\original\o\o_m02s11.src	 g729char\exp1\coded\o\oe1m3711.out	3.673	16000
 g729char\exp1\original\o\o_f01s12.src	 g729char\exp1\coded\o\oe1f6412.out	3.297	16000
 g729char\exp1\original\o\o_f02s12.src	 g729char\exp1\coded\o\oe1f9012.out	3.089	16000
 g729char\exp1\original\o\o_m01s12.src	 g729char\exp1\coded\o\oe1m0c12.out	3.181	16000
 g729char\exp1\original\o\o_m02s12.src	 g729char\exp1\coded\o\oe1m3812.out	3.454	16000
 g729char\exp1\original\o\o_f01s13.src	 g729char\exp1\coded\o\oe1f6513.out	3.1	16000
 g729char\exp1\original\o\o_f02s13.src	 g729char\exp1\coded\o\oe1f9113.out	2.975	16000
 g729char\exp1\original\o\o_m01s13.src	 g729char\exp1\coded\o\oe1m0d13.out	2.99	16000
 g729char\exp1\original\o\o_m02s13.src	 g729char\exp1\coded\o\oe1m3913.out	3.081	16000
 g729char\exp1\original\o\o_f01s14.src	 g729char\exp1\coded\o\oe1f6614.out	3.015	16000
 g729char\exp1\original\o\o_f02s14.src	 g729char\exp1\coded\o\oe1f9214.out	2.531	16000
 g729char\exp1\original\o\o_m01s14.src	 g729char\exp1\coded\o\oe1m0e14.out	2.671	16000
 g729char\exp1\original\o\o_m02s14.src	 g729char\exp1\coded\o\oe1m3a14.out	2.909	16000
 g729char\exp1\original\o\o_f01s15.src	 g729char\exp1\coded\o\oe1f6715.out	2.78	16000
 g729char\exp1\original\o\o_f02s15.src	 g729char\exp1\coded\o\oe1f9315.out	2.372	16000
 g729char\exp1\original\o\o_m01s15.src	 g729char\exp1\coded\o\oe1m0f15.out	2.466	16000
 g729char\exp1\original\o\o_m02s15.src	 g729char\exp1\coded\o\oe1m3b15.out	2.714	16000
 g729char\exp1\original\o\o_f01s16.src	 g729char\exp1\coded\o\oe1f6816.out	3.568	16000
 g729char\exp1\original\o\o_f02s16.src	 g729char\exp1\coded\o\oe1f9416.out	3.274	16000
 g729char\exp1\original\o\o_m01s16.src	 g729char\exp1\coded\o\oe1m1016.out	3.264	16000
 g729char\exp1\original\o\o_m02s16.src	 g729char\exp1\coded\o\oe1m3c16.out	3.689	16000
 g729char\exp1\original\o\o_f01s17.src	 g729char\exp1\coded\o\oe1f6917.out	3.396	16000
 g729char\exp1\original\o\o_f02s17.src	 g729char\exp1\coded\o\oe1f9517.out	3.126	16000
 g729char\exp1\original\o\o_m01s17.src	 g729char\exp1\coded\o\oe1m1117.out	3.177	16000
 g729char\exp1\original\o\o_m02s17.src	 g729char\exp1\coded\o\oe1m3d17.out	3.183	16000
 g729char\exp1\original\o\o_f01s18.src	 g729char\exp1\coded\o\oe1f6a18.out	3.148	16000
 g729char\exp1\original\o\o_f02s18.src	 g729char\exp1\coded\o\oe1f9618.out	2.991	16000
 g729char\exp1\original\o\o_m01s18.src	 g729char\exp1\coded\o\oe1m1218.out	3.195	16000
 g729char\exp1\original\o\o_m02s18.src	 g729char\exp1\coded\o\oe1m3e18.out	3.145	16000
 g729char\exp1\original\o\o_f01s19.src	 g729char\exp1\coded\o\oe1f6b19.out	2.986	16000
 g729char\exp1\original\o\o_f02s19.src	 g729char\exp1\coded\o\oe1f9719.out	3.049	16000
 g729char\exp1\original\o\o_m01s19.src	 g729char\exp1\coded\o\oe1m1319.out	3.011	16000
 g729char\exp1\original\o\o_m02s19.src	 g729char\exp1\coded\o\oe1m3f19.out	3.141	16000
 g729char\exp1\original\o\o_f01s20.src	 g729char\exp1\coded\o\oe1f6c20.out	2.64	16000
 g729char\exp1\original\o\o_f02s20.src	 g729char\exp1\coded\o\oe1f9820.out	2.397	16000
 g729char\exp1\original\o\o_m01s20.src	 g729char\exp1\coded\o\oe1m1420.out	2.352	16000
 g729char\exp1\original\o\o_m02s20.src	 g729char\exp1\coded\o\oe1m4020.out	2.624	16000
 g729char\exp1\original\o\o_f01s21.src	 g729char\exp1\coded\o\oe1f6d21.out	2.794	16000
 g729char\exp1\original\o\o_f02s21.src	 g729char\exp1\coded\o\oe1f9921.out	2.682	16000
 g729char\exp1\original\o\o_m01s21.src	 g729char\exp1\coded\o\oe1m1521.out	2.784	16000
 g729char\exp1\original\o\o_m02s21.src	 g729char\exp1\coded\o\oe1m4121.out	2.733	16000
 g729char\exp1\original\o\o_f01s22.src	 g729char\exp1\coded\o\oe1f6e22.out	2.673	16000
 g729char\exp1\original\o\o_f02s22.src	 g729char\exp1\coded\o\oe1f9a22.out	2.181	16000
 g729char\exp1\original\o\o_m01s22.src	 g729char\exp1\coded\o\oe1m1622.out	2.416	16000
 g729char\exp1\original\o\o_m02s22.src	 g729char\exp1\coded\o\oe1m4222.out	2.724	16000
 g729char\exp1\original\o\o_f01s23.src	 g729char\exp1\coded\o\oe1f6f23.out	2.477	16000
 g729char\exp1\original\o\o_f02s23.src	 g729char\exp1\coded\o\oe1f9b23.out	2.321	16000
 g729char\exp1\original\o\o_m01s23.src	 g729char\exp1\coded\o\oe1m1723.out	2.289	16000
 g729char\exp1\original\o\o_m02s23.src	 g729char\exp1\coded\o\oe1m4323.out	2.486	16000
 g729char\exp1\original\o\o_f01s24.src	 g729char\exp1\coded\o\oe1f7024.out	2.813	16000
 g729char\exp1\original\o\o_f02s24.src	 g729char\exp1\coded\o\oe1f9c24.out	2.954	16000
 g729char\exp1\original\o\o_m01s24.src	 g729char\exp1\coded\o\oe1m1824.out	3.004	16000
 g729char\exp1\original\o\o_m02s24.src	 g729char\exp1\coded\o\oe1m4424.out	3.155	16000
 g729char\exp1\original\o\o_f01s25.src	 g729char\exp1\coded\o\oe1f7125.out	2.775	16000
 g729char\exp1\original\o\o_f02s25.src	 g729char\exp1\coded\o\oe1f9d25.out	2.718	16000
 g729char\exp1\original\o\o_m01s25.src	 g729char\exp1\coded\o\oe1m1925.out	2.962	16000
 g729char\exp1\original\o\o_m02s25.src	 g729char\exp1\coded\o\oe1m4525.out	2.988	16000
 g729char\exp1\original\o\o_f01s26.src	 g729char\exp1\coded\o\oe1f7226.out	3.027	16000
 g729char\exp1\original\o\o_f02s26.src	 g729char\exp1\coded\o\oe1f9e26.out	2.896	16000
 g729char\exp1\original\o\o_m01s26.src	 g729char\exp1\coded\o\oe1m1a26.out	2.78	16000
 g729char\exp1\original\o\o_m02s26.src	 g729char\exp1\coded\o\oe1m4626.out	2.801	16000
 g729char\exp1\original\o\o_f01s27.src	 g729char\exp1\coded\o\oe1f7327.out	2.682	16000
 g729char\exp1\original\o\o_f02s27.src	 g729char\exp1\coded\o\oe1f9f27.out	2.702	16000
 g729char\exp1\original\o\o_m01s27.src	 g729char\exp1\coded\o\oe1m1b27.out	2.528	16000
 g729char\exp1\original\o\o_m02s27.src	 g729char\exp1\coded\o\oe1m4727.out	2.641	16000
 g729char\exp1\original\o\o_f01s28.src	 g729char\exp1\coded\o\oe1f7428.out	2.606	16000
 g729char\exp1\original\o\o_f02s28.src	 g729char\exp1\coded\o\oe1fa028.out	2.302	16000
 g729char\exp1\original\o\o_m01s28.src	 g729char\exp1\coded\o\oe1m1c28.out	2.446	16000
 g729char\exp1\original\o\o_m02s28.src	 g729char\exp1\coded\o\oe1m4828.out	2.4	16000
 g729char\exp1\original\o\o_f01s29.src	 g729char\exp1\coded\o\oe1f7529.out	2.931	16000
 g729char\exp1\original\o\o_f02s29.src	 g729char\exp1\coded\o\oe1fa129.out	3	16000
 g729char\exp1\original\o\o_m01s29.src	 g729char\exp1\coded\o\oe1m1d29.out	3.209	16000
 g729char\exp1\original\o\o_m02s29.src	 g729char\exp1\coded\o\oe1m4929.out	3.139	16000
 g729char\exp1\original\o\o_f01s30.src	 g729char\exp1\coded\o\oe1f7630.out	2.904	16000
 g729char\exp1\original\o\o_f02s30.src	 g729char\exp1\coded\o\oe1fa230.out	3.034	16000
 g729char\exp1\original\o\o_m01s30.src	 g729char\exp1\coded\o\oe1m1e30.out	2.981	16000
 g729char\exp1\original\o\o_m02s30.src	 g729char\exp1\coded\o\oe1m4a30.out	2.803	16000
 g729char\exp1\original\o\o_f01s31.src	 g729char\exp1\coded\o\oe1f7731.out	2.91	16000
 g729char\exp1\original\o\o_f02s31.src	 g729char\exp1\coded\o\oe1fa331.out	3.005	16000
 g729char\exp1\original\o\o_m01s31.src	 g729char\exp1\coded\o\oe1m1f31.out	3.124	16000
 g729char\exp1\original\o\o_m02s31.src	 g729char\exp1\coded\o\oe1m4b31.out	2.917	16000
 g729char\exp1\original\o\o_f01s32.src	 g729char\exp1\coded\o\oe1f7832.out	2.754	16000
 g729char\exp1\original\o\o_f02s32.src	 g729char\exp1\coded\o\oe1fa432.out	2.578	16000
 g729char\exp1\original\o\o_m01s32.src	 g729char\exp1\coded\o\oe1m2032.out	2.384	16000
 g729char\exp1\original\o\o_m02s32.src	 g729char\exp1\coded\o\oe1m4c32.out	2.679	16000
 g729char\exp1\original\o\o_f01s33.src	 g729char\exp1\coded\o\oe1f7933.out	2.631	16000
 g729char\exp1\original\o\o_f02s33.src	 g729char\exp1\coded\o\oe1fa533.out	2.58	16000
 g729char\exp1\original\o\o_m01s33.src	 g729char\exp1\coded\o\oe1m2133.out	2.678	16000
 g729char\exp1\original\o\o_m02s33.src	 g729char\exp1\coded\o\oe1m4d33.out	2.827	16000
 g729char\exp1\original\o\o_f01s34.src	 g729char\exp1\coded\o\oe1f7a34.out	2.767	16000
 g729char\exp1\original\o\o_f02s34.src	 g729char\exp1\coded\o\oe1fa634.out	2.438	16000
 g729char\exp1\original\o\o_m01s34.src	 g729char\exp1\coded\o\oe1m2234.out	2.615	16000
 g729char\exp1\original\o\o_m02s34.src	 g729char\exp1\coded\o\oe1m4e34.out	2.806	16000
 g729char\exp1\original\o\o_f01s35.src	 g729char\exp1\coded\o\oe1f7b35.out	2.331	16000
 g729char\exp1\original\o\o_f02s35.src	 g729char\exp1\coded\o\oe1fa735.out	2.026	16000
 g729char\exp1\original\o\o_m01s35.src	 g729char\exp1\coded\o\oe1m2335.out	2.346	16000
 g729char\exp1\original\o\o_m02s35.src	 g729char\exp1\coded\o\oe1m4f35.out	2.343	16000
 g729char\exp1\original\o\o_f01s36.src	 g729char\exp1\coded\o\oe1f7c36.out	2.439	16000
 g729char\exp1\original\o\o_f02s36.src	 g729char\exp1\coded\o\oe1fa836.out	2.376	16000
 g729char\exp1\original\o\o_m01s36.src	 g729char\exp1\coded\o\oe1m2436.out	2.387	16000
 g729char\exp1\original\o\o_m02s36.src	 g729char\exp1\coded\o\oe1m5036.out	2.65	16000
 g729char\exp1\original\o\o_f01s37.src	 g729char\exp1\coded\o\oe1f7d37.out	1.754	16000
 g729char\exp1\original\o\o_f02s37.src	 g729char\exp1\coded\o\oe1fa937.out	1.401	16000
 g729char\exp1\original\o\o_m01s37.src	 g729char\exp1\coded\o\oe1m2537.out	1.812	16000
 g729char\exp1\original\o\o_m02s37.src	 g729char\exp1\coded\o\oe1m5137.out	1.583	16000
 g729char\exp1\original\o\o_f01s38.src	 g729char\exp1\coded\o\oe1f7e38.out	2.299	16000
 g729char\exp1\original\o\o_f02s38.src	 g729char\exp1\coded\o\oe1faa38.out	2.347	16000
 g729char\exp1\original\o\o_m01s38.src	 g729char\exp1\coded\o\oe1m2638.out	2.547	16000
 g729char\exp1\original\o\o_m02s38.src	 g729char\exp1\coded\o\oe1m5238.out	2.297	16000
 g729char\exp1\original\o\o_f01s39.src	 g729char\exp1\coded\o\oe1f7f39.out	2.667	16000
 g729char\exp1\original\o\o_f02s39.src	 g729char\exp1\coded\o\oe1fab39.out	2.933	16000
 g729char\exp1\original\o\o_m01s39.src	 g729char\exp1\coded\o\oe1m2739.out	3.147	16000
 g729char\exp1\original\o\o_m02s39.src	 g729char\exp1\coded\o\oe1m5339.out	2.945	16000
 g729char\exp1\original\o\o_f01s40.src	 g729char\exp1\coded\o\oe1f8040.out	3.524	16000
 g729char\exp1\original\o\o_f02s40.src	 g729char\exp1\coded\o\oe1fac40.out	3.27	16000
 g729char\exp1\original\o\o_m01s40.src	 g729char\exp1\coded\o\oe1m2840.out	3.616	16000
 g729char\exp1\original\o\o_m02s40.src	 g729char\exp1\coded\o\oe1m5440.out	3.252	16000
 g729char\exp1\original\o\o_f01s41.src	 g729char\exp1\coded\o\oe1f8141.out	3.82	16000
 g729char\exp1\original\o\o_f02s41.src	 g729char\exp1\coded\o\oe1fad41.out	3.974	16000
 g729char\exp1\original\o\o_m01s41.src	 g729char\exp1\coded\o\oe1m2941.out	4.085	16000
 g729char\exp1\original\o\o_m02s41.src	 g729char\exp1\coded\o\oe1m5541.out	3.923	16000
 g729char\exp1\original\o\o_f01s42.src	 g729char\exp1\coded\o\oe1f8242.out	4.089	16000
 g729char\exp1\original\o\o_f02s42.src	 g729char\exp1\coded\o\oe1fae42.out	4.015	16000
 g729char\exp1\original\o\o_m01s42.src	 g729char\exp1\coded\o\oe1m2a42.out	4.248	16000
 g729char\exp1\original\o\o_m02s42.src	 g729char\exp1\coded\o\oe1m5642.out	4.172	16000
 g729char\exp1\original\o\o_f01s43.src	 g729char\exp1\coded\o\oe1f8343.out	4.258	16000
 g729char\exp1\original\o\o_f02s43.src	 g729char\exp1\coded\o\oe1faf43.out	4.191	16000
 g729char\exp1\original\o\o_m01s43.src	 g729char\exp1\coded\o\oe1m2b43.out	4.309	16000
 g729char\exp1\original\o\o_m02s43.src	 g729char\exp1\coded\o\oe1m5743.out	4.363	16000
 g729char\exp1\original\o\o_f01s44.src	 g729char\exp1\coded\o\oe1f8444.out	4.435	16000
 g729char\exp1\original\o\o_f02s44.src	 g729char\exp1\coded\o\oe1fb044.out	4.361	16000
 g729char\exp1\original\o\o_m01s44.src	 g729char\exp1\coded\o\oe1m2c44.out	4.372	16000
 g729char\exp1\original\o\o_m02s44.src	 g729char\exp1\coded\o\oe1m5844.out	4.383	16000
 g729char\exp2\pre_proc\a\a_m01l01.axp	 g729char\exp2\coded\a\ae2m0101.out	3.905	16000
 g729char\exp2\pre_proc\a\a_m02l29.axp	 g729char\exp2\coded\a\ae2m2901.out	3.874	16000
 g729char\exp2\pre_proc\a\a_f01l51.axp	 g729char\exp2\coded\a\ae2f5101.out	3.57	16000
 g729char\exp2\pre_proc\a\a_f02l79.axp	 g729char\exp2\coded\a\ae2f7901.out	3.665	16000
 g729char\exp2\pre_proc\a\a_m01l02.axp	 g729char\exp2\coded\a\ae2m0202.out	3.856	16000
 g729char\exp2\pre_proc\a\a_m02l2a.axp	 g729char\exp2\coded\a\ae2m2a02.out	3.889	16000
